sentence,emotion
i ve been feeling a bit cranky with the kids this week cranky baby whiny year old demanding preschooler so i wanted to stop and remember how blessed i really am,anger
i feel frustrated sometimes with my mac lipsticks when i have to read names or open each of them to select shade,anger
i feeling stressed,anger
im feeling less annoyed with him,anger
i feel more irritable and i feel more sensible now than ever,anger
i feel like a tortured artist when i talk to her,anger
i feel like im the mad hatter rather than alice,anger
i just cant help but feel extremely jealous of them because theyve been together for a year and half and luke and i have been together for and a half and i have nothing,anger
i got the feeling she hated that that i would not admit it let it in i know ive hated every single obstacle that kept it from her every single leaden block that kept being placed in our once clear path to one anothers arms,anger
i took a minute to appreciate the trees around me and the calming energy that they gave me at a time when i was feeling a little bit irritable,anger
i have to admit that i feel a little irate as well but its under control,anger
i feel dissatisfied with the advances we ve made rather than this team stinks,anger
i really am feeling horribly irritable and a little bit depressed,anger
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
i don t know what to do about it or how to do it almost feeling angry within myself that i can t do something tangible and pragmatic to help my sisters,anger
i actually thought i would feel bothered being their since ehb and the other woman ow spent quite a bit of time together there but i didnt feel much of anything,anger
im feeling distracted i tend to practice with my eyes shut as much as possible,anger
i wanted to root for someone to feel wronged and condemned on their behalf,anger
i cannot help but feel outraged to recognize that essentially children in america have no rights at all,anger
i feel like a cranky old man saying this but so it goes,anger
i feel like im presenting myself in a less hostile manner now when i am dragged to an event or gathering full of stupid fake people,anger
i start to feel annoyed about the whole thing and end up ordering pizza,anger
i feel that this was their mistake and they are just being rude,anger
i still feel stressed,anger
i have this nagging feeling that i fucked everything up on the first try,anger
i wanted to avoid feeling rushed,anger
i was beginning to feel fear nevertheless a stubborn person i am i swept the superstition away but i reminded myself to pay extra caution,anger
i feel that rushed prize giving really dilute the event and in future prize givings will be not rushed and will be on timetable,anger
i can feel the cold wind,anger
i write what i feel if you get annoyed and sick of this simply close the tab,anger
i was still feelin kind of irritable and funky from the day before but so it goes,anger
i feel too bitchy to do something like that to my family because theyre going through the same shit i am,anger
i want to say how i want to feel just come out so bitter and angry,anger
i felt out of control i hated myself for feeling it then felt more out of control hated myself for hating that i hated it and it just got worse until i was walking to work in a haze trying to not curl up on the pavement and just,anger
